Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
AMPHARETIDAE																																											
Hypania invalida																															7	3							10				
NEREIDAE																																											
Neanthes succinea																																											
Nereis diversicolor																		1																			2				7		1
NERILLIDAE																																											
Troglochaetus beranecki																													9	1								10					
PARERGODRILIDAE																																											
Parergodrilus heideri																																											
SABELLIDAE																																											
Manayunkia aestuarina																																											
Manayunkia caspica																																											
SERPULIDAE																																											
Ficopotamus enigmaticus																																											
SPIONIDAE																																											
Malacocerus tetracerus																																											
Marenzelleria viridis																																											
Polydora cornuta																																											
Polydora ligerica																																											
Streblospio benedicti																																											
Oligochaeta																																											
AEOLOSOMATIDAE																																											
Aeolosoma flavum																1																											
Aeolosoma headleyi																1																											
Aeolosoma hemprichi																1														1	6	3						10					
Aeolosoma hyalinum																1																						10					
Aeolosoma niveum															1															2	8							10					
Aeolosoma quaternarium																1																											
Aeolosoma tenebrarum														1																2	6	2						10					
Aeolosoma variegatum																1																											
Hystricosoma chappuisi																																						4				6	
DORYDRILIDAE																																											
Dorydrilus michaelseni																																											
ENCHYTRAEIDAE																																											
Achaeta aberrans																																											
Achaeta affinis																																											
Achaeta bibulba																																											
Achaeta bifollicula																																											
Achaeta bohemica																																											
Achaeta bulbosa																																											
Achaeta camerani																																											
Achaeta eisenii																																											
Bryodrilus ehlersi																																											
Buchholzia appendiculata																																											
Buchholzia fallax																																											
Cernosvitoviella atrata																														6	4							10					
Cernosvitoviella carpatica																																											
Cernosvitoviella goodhui																																											
Cernosvitoviella immota																																											
Cernosvitoviella tatrensis																																											
Cognettia glandulosa																																											
Cognettia lapponica																																											
Cognettia paxi																																											
Cognettia sphagnetorum																																											
